variable,value,source
memoryPower,0.3725,"in W/GB from http://dl.acm.org/citation.cfm?doid=3076113.3076117 and https://www.tomshardware.com/uk/reviews/intel-core-i7-5960x-haswell-e-cpu,3918-13.html"
fridge,174,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
fridge_freezer,346,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
freezer,308,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
wine_cellar,193,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
dishwasher_12p,192,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
ceramic_hob,159,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
electric_oven_64L,146,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
microwave_oven,39,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
tv,187,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
internet_box,97,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
tv_receptor,87,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
video_game,103,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
laptop,22,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
computer,123,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
smartphone,3,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
washing_machine_7kg,101,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
dryer_7kg,301,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
light_31p,147,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
electric_boiler_200L,1676,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
electric_heating_house,4312,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
electric_heating_flat,1719,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
ac,100,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
ventilator,5,"in kWh/year from https://agirpourlatransition.ademe.fr/particuliers/economiser/energie/consommation-appareils-menagers"
